Symbol, Symbol, Weight
F42C,G01R,1
B30B,F42B,1
B30B,B29C,1
F42B,B29C,1
F42B,B64C,2
F42B,B64F,1
B64C,B64F,1
C06B,F42B,25
C06B,A62D,6
F42B,A62D,3
F42B,F41G,19
F41G,G01C,3
F41G,G05D,2
F42B,G01C,7
F42B,G05D,4
G01C,G05D,4
F41G,G02B,2
F41G,G01S,11
F42B,G02B,5
F42B,G01S,7
G02B,G01S,3
F42B,F02K,10
F42C,F42B,45
F42B,B65B,6
F42B,B65D,11
B65B,B65D,4
F41G,F42C,5
F42C,G01S,2
E21D,F42D,7
E21D,E21B,1
F42D,E21B,7
G06M,F42B,1
G06M,B07C,1
F42B,B07C,1
F41J,F42B,10
F41A,F42B,33
F42B,F41F,12
F41F,F41A,9
F42B,H01M,13
C06B,C06C,12
C06B,F42D,15
C06C,F42D,1
F42D,F42C,6
F42D,F42B,36
F42D,G04F,1
F42C,G04F,1
F42B,G04F,1
B60R,B63C,1
B60R,F42B,3
B60R,F42C,3
B63C,F42B,3
B63C,F42C,1
F41H,F42B,19
F42D,G06F,2
F41G,H04N,4
G01S,H04N,4
H04N,F42B,4
H01M,F16K,6
F16K,F42B,2
E21B,G01N,1
G01N,F42D,1
F42B,B64G,6
F42B,C03C,1
H01M,C03C,2
F21K,F42B,1
F42C,A62B,1
F42D,E21C,14
E21C,E21D,3
F42C,F41A,3
F42C,G01P,5
F41A,G01P,1
C06C,F42B,10
C06C,F02K,1
C06B,F02K,1
A62C,F42B,5
F42B,B63G,2
B63G,F41F,2
B63G,F41A,3
G06K,F42B,4
F42B,F42 ,1
F42 ,F42C,1
F02K,F42D,1
F42C,H01H,1
F41A,F41B,1
F41A,F41H,2
F41A,F41J,1
F41B,F41H,1
F41B,F41J,1
F41B,F42B,10
F41H,F41J,1
F42D,E01F,1
B63G,B63H,1
B63G,H01L,1
B63H,F41F,1
B63H,F42B,3
B63H,H01L,1
F41F,H01L,1
F42B,H01L,1
F41H,F42D,3
F41H,C09J,2
F41H,B32B,12
F42D,C09J,1
F42D,B32B,6
C09J,B32B,6
B23K,B41M,1
B23K,F41A,2
B23K,F42B,1
B23K,B44C,1
B23K,G06K,1
B23K,G09F,1
B41M,F41A,2
B41M,F42B,1
B41M,B44C,1
B41M,G06K,1
B41M,G09F,1
F41A,B44C,2
F41A,G06K,2
F41A,G09F,2
F42B,B44C,1
F42B,G09F,1
B44C,G06K,1
B44C,G09F,1
G06K,G09F,1
G06K,G06T,1
G06T,F42B,1
C06B,C08B,3
C08B,C06C,1
C08B,F42B,2
B22F,F42B,6
F41A,F41C,1
F41C,F42B,2
F41A,A62C,1
F41H,A62C,1
F42B,H01Q,2
A61L,A61C,3
A61L,F42B,6
A61C,F42B,2
F41B,A63H,1
A63H,F42B,1
F42C,C06C,3
F41H,B64D,1
F42B,B64D,3
F42B,F24C,1
F42B,B21D,1
F24C,B21D,1
F42D,G01V,2
E21B,E21C,1
E21B,G01V,1
E21C,G01V,1
F24B,F42B,3
C06D,C06C,1
C06D,F42B,1
B25C,F42B,1
F23G,F24D,1
F23G,A62D,1
F23G,B01D,1
F23G,F42B,6
F24D,A62D,1
F24D,B01D,1
F24D,F42B,1
A62D,B01D,1
B01D,F42B,1
F41G,F15B,1
F42B,F15B,2
G02B,B65H,1
G02B,B21C,1
F41G,B65H,1
F41G,B21C,1
F42B,B65H,1
F42B,B21C,1
B65H,B21C,1
B05,B01F,1
B05,F42B,1
B01F,F42B,1
F02K,F42C,1
F41C,F42D,1
B04D,F42B,1
E21B,F42B,1
