F42===G01===25
B30===F42===1
B30===B29===1
F42===B29===1
F42===B64===12
C06===F42===57
C06===A62===6
F42===A62===9
F42===F41===119
F41===G01===15
F41===G05===2
F42===G05===4
G01===G05===4
F41===G02===2
F42===G02===5
G02===G01===3
F42===F02===12
F42===B65===18
E21===F42===30
G06===F42===8
G06===B07===1
F42===B07===1
F42===H01===17
F42===G04===3
B60===B63===1
B60===F42===6
B63===F42===9
F41===H04===4
G01===H04===4
H04===F42===4
H01===F16===6
F16===F42===2
E21===G01===3
F42===C03===1
H01===C03===2
F21===F42===1
C06===F02===2
B63===F41===6
F42===E01===1
B63===H01===2
F41===H01===1
F41===C09===2
F41===B32===12
F42===C09===1
F42===B32===6
C09===B32===6
B23===B41===1
B23===F41===2
B23===F42===1
B23===B44===1
B23===G06===1
B23===G09===1
B41===F41===2
B41===F42===1
B41===B44===1
B41===G06===1
B41===G09===1
F41===B44===2
F41===G06===2
F41===G09===2
F42===B44===1
F42===G09===1
B44===G06===1
B44===G09===1
G06===G09===1
C06===C08===5
C08===F42===2
B22===F42===6
F41===A62===2
A61===F42===8
F41===A63===1
A63===F42===1
F41===B64===1
F42===F24===5
F42===B21===2
F24===B21===1
B25===F42===1
F23===F24===1
F23===A62===1
F23===B01===1
F23===F42===6
F24===A62===1
F24===B01===1
A62===B01===1
B01===F42===2
F41===F15===1
F42===F15===2
G02===B65===1
G02===B21===1
F41===B65===1
F41===B21===1
B65===B21===1
B05===B01===1
B05===F42===1
B04===F42===1
